species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Monographella maydis/Microdochium maydis	Microdochium maydis/Monographella maydis		fungi	NOT_VERIFIED	Tar spot complex	靶斑病	confirmed	Müller E, Samuels G J. Monographella maydis sp. nov. and its connection to the tar-spot disease of Zea mays[J]. 1984. | NCBI Taxonomy 未收录 Microdochium/Monographella maydis	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Mucor circinelloides	Mucor circinelloides		fungi	36080	Mucor ear rot, storage mold	毛霉穗腐病/储藏霉病	confirmed	Purwantisari S, Nurbayani F A, Safina M F I, et al. Antagonistic activity of Trichoderma harzianum against Aspergillus parasiticus and Mucor circinelloides in corn plant (Zea mays L.)[J]. PLANTA TROPIKA, 2025, 13(1): 38-51.	present	43	MH854580.1; MH854641.1; MH854974.1; MH854979.1; MH854980.1; MH855528.1; MH855658.1; MH855659.1; MH855660.1; MH856521.1; MH857182.1; MH859111.1; MH859803.1; MH859804.1; MH859805.1; MH859806.1; MH859807.1; MH859808.1; MH860064.1; MH860622.1; MH860623.1; MH862534.1; MH863646.1; PP844139.1; PP844478.1; PV234064.1; PZ465995.1; PZ465996.1; PZ465997.1; PZ478071.1; PZ480718.1; PZ498035.1; PZ610053.1; PZ618550.1; PZ623857.1; PZ623906.1; PZ623919.1; PZ645930.1; PZ679022.1; PZ685956.1; PZ727093.1; PZ742424.1; PZ742477.1		
Mycosarcoma maydis (Ustilago maydis)	Mycosarcoma maydis/Ustilago maydis	Ustilago maydis	fungi	5270	Common smut/boil smut	玉米黑粉病/瘤黑粉病	confirmed	Kämper J, Kahmann R, Bölker M, et al. Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis[J]. Nature, 2006, 444(7115): 97-101.	present	43	KJ081758.1; MH047195.1; MH115001.1; MH854587.1; MH855351.1; MH855354.1; MH855355.1; MH855356.1; MH855357.1; MH855358.1; MH855359.1; MH855360.1; MH855361.1; MH855362.1; MH855363.1; MH855364.1; MH855365.1; MH855367.1; MH855368.1; MH855369.1; MH855370.1; MH857912.1; MH858320.1; MN871436.1; MT505437.1; MT573494.1; MW366682.1; MW366683.1; MW620058.1; MZ496986.1; ON540127.1; OP676012.1; OP676013.1; OP676014.1; OQ540480.1; OQ780875.1; OQ979653.1; OR042785.1; OW986184.1; OW986492.1; PQ220215.1; PV584127.1; PZ745924.1		
Nigrospora oryzae (Khuskia oryzae)	Nigrospora oryzae/Khuskia oryzae/Apiospora oryzae	Khuskia oryzae	fungi	335854	Nigrospora ear and cob rot/ Dry ear rot	黑孢穗腐病	confirmed	Balendres M A, Calabon M, Cortes A, et al. Nigrospora[M]//Compendium of Phytopathogenic Microbes in Agro-Ecology: Vol. 1 Fungi. Cham: Springer Nature Switzerland, 2025: 503-529.	present	43	MH855300.1; MH860749.1; PV786828.1; PX832329.1; PX908935.1; PX923130.1; PX953057.1; PX953059.1; PX953060.1; PX953061.1; PX965520.1; PZ054261.1; PZ113118.1; PZ113130.1; PZ113170.1; PZ117519.1; PZ163948.1; PZ179767.1; PZ179768.1; PZ231266.1; PZ262216.1; PZ262228.1; PZ288198.1; PZ342846.1; PZ386890.1; PZ448570.1; PZ478029.1; PZ543369.1; PZ556456.1; PZ577576.1; PZ579198.1; PZ579209.1; PZ579221.1; PZ627202.1; PZ627230.1; PZ653124.1; PZ653155.1; PZ716311.1; PZ785580.1; PZ794735.1; PZ798438.1; PZ798441.1; PZ818903.1		
Paraphaeosphaeria michotii / Sphaeria michotii	Paraphaeosphaeria michotii / Sphaeria michotii		fungi	125373	Tar Spot	焦斑病	confirmed	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.	present	43	AB809639.1; JF340243.1; JX496103.1; JX629111.1; KJ406848.1; KJ406851.1; KJ939279.1; KR093907.1; KT827260.1; KU751878.1; KY228674.1; LN714580.1; LR876473.1; MG572395.1; MG828933.1; MG828934.1; MH178728.1; MH860778.1; MH861961.1; MH862008.1; MK911665.1; MN173033.1; MT000378.1; MT000428.1; MT852531.1; MW157750.1; MW483799.1; MZ098686.1; MZ492971.1; MZ567858.1; ON130594.1; OP076879.1; OQ842752.1; OQ924429.1; OR134752.1; OR237610.1; OR600348.1; PQ741231.1; PV608536.1; PV608537.1; PV608538.1; PV833215.1; PX387417.1		
Penicillium chrysogenum	Penicillium chrysogenum		fungi	5076	Penicillium ear rot (blue eye)	青霉穗腐病	confirmed	Hill P. 1972. The Production of Penicillins in Soils and Seeds by Penicillium chrysogenum and the Role of Penicillin β-Lactamase in the Ecology of Soil Bacillus. Journal of General Microbiology, 70: 243–252.	present	43	PP231834.1; PV836786.1; PX071318.1; PX071320.1; PX071334.1; PX071341.1; PX071365.1; PX071379.1; PX071386.1; PX071387.1; PX071394.1; PX071405.1; PX071406.1; PX071413.1; PX071414.1; PX071415.1; PX071418.1; PX071419.1; PX071420.1; PX071423.1; PZ691672.1; PZ691683.1; PZ691689.1; PZ691697.1; PZ691720.1; PZ691721.1; PZ691881.1; PZ691892.1; PZ691914.1; PZ691919.1; PZ691981.1; PZ692037.1; PZ692086.1; PZ725178.1; PZ742421.1; PZ742439.1; PZ742577.1; PZ770550.1; PZ779405.1; PZ780476.1; PZ781139.1; PZ810691.1; PZ818892.1		
Penicillium cyclopium	Penicillium aurantiogriseum/Penicillium cyclopium/Penicillium viridicatum		fungi	60167	Penicillium ear rot	青霉穗腐病	confirmed	Keromnes J, Thouvenot D. Role of penicillic acid in the phytotoxicity of Penicillium cyclopium and Penicillium canescens to the germination of corn seeds[J]. Applied and environmental microbiology, 1985, 49(3): 660-663. Ekwomadu T I, Gopane R E, Mwanza M. Occurrence of filamentous fungi in maize destined for human consumption in South Africa[J]. Food science & nutrition, 2018, 6(4): 884-890.	present	32	GU319999.1; JN097811.1; JN942740.1; JN942747.1; KC009306.1; KJ783269.1; KM023347.1; KP067255.1; KU325083.1; MH854633.1; MH857889.1; MH858381.1; MH865559.1; MH865965.1; MK578750.1; MN794459.1; MN794470.1; MN794471.1; MN818582.1; MT133771.1; MT133789.1; MT990551.1; OL703546.1; OL703547.1; ON782646.1; OP681420.1; OR421159.1; OW982518.1; OW984203.1; OW984243.1; PV953214.1; PX108407.1		
Penicillium funiculosum / Talaromyces funiculosus	Talaromyces funiculosus/Penicillium funiculosum		fungi	28572	Penicillium ear rot	青霉穗腐病	confirmed	Liu S, Wang J, Guo N, et al. Talaromyces funiculosus, a novel causal agent of maize ear rot and its sensitivity to fungicides[J]. Plant disease, 2021, 105(12): 3978-3984.	present	43	LC901906.1; MH859993.1; MH859994.1; MH860395.1; MH860396.1; MH860684.1; MH861957.1; MH864243.1; MH864872.1; MH864919.1; MH864925.1; MH865292.1; MH865441.1; MH865549.1; MZ353523.1; MZ353530.1; MZ353546.1; MZ353561.1; PP844509.1; PQ555628.1; PQ721339.1; PV362176.1; PV363923.1; PV363924.1; PV363925.1; PV581222.1; PV652812.1; PV839589.1; PX287135.1; PX427499.1; PX471239.1; PX494403.1; PX503668.1; PX600458.1; PX830115.1; PX854934.1; PX916096.1; PX994870.1; PZ288163.1; PZ319438.1; PZ394571.1; PZ691477.1; PZ742578.1		
Penicillium oxalicum	Penicillium oxalicum		fungi	69781	Penicillium ear rot (blue eye)/Leaf Blight	青霉穗腐病/蓝眼病/叶斑病	confirmed	Han J X, Zhang S L, Shi X C, et al. First report of Penicillium oxalicum causing leaf blight on maize in China[J]. Plant Disease, 2023, 107(8): 2554.	present	43	MH855125.1; MH857880.1; MH861321.1; MH865648.1; PP844522.1; PV459685.1; PV614111.1; PV620251.1; PX596651.1; PZ113200.1; PZ126814.1; PZ126818.1; PZ126846.1; PZ152156.1; PZ152157.1; PZ161332.1; PZ161333.1; PZ161334.1; PZ179775.1; PZ225463.1; PZ256037.1; PZ269221.1; PZ269539.1; PZ278834.1; PZ297261.1; PZ367800.1; PZ384125.1; PZ406414.1; PZ413456.1; PZ414889.1; PZ450922.1; PZ453303.1; PZ507495.1; PZ539274.1; PZ575809.1; PZ585093.1; PZ586761.1; PZ627224.1; PZ627227.1; PZ627228.1; PZ737106.1; PZ766234.1; PZ805041.1		
Penicillium verrucosum	Penicillium verrucosum		fungi	60171	ear rot	穗腐病	confirmed	Wawrzyniak J, Waśkiewicz A. Ochratoxin A and citrinin production by Penicillium verrucosum on cereal solid substrates[J]. Food Additives & Contaminants: Part A, 2014, 31(1): 139-148.	present	43	AB479317.1; KF465779.1; KY006840.1; KY006842.1; KY966028.1; LC901877.1; MG589527.1; MG647843.1; MG821374.1; MH858300.1; MH858434.1; MH858846.1; MH860078.1; MH860079.1; MH860080.1; MH860081.1; MH860082.1; MH860083.1; MH860084.1; MH860085.1; MH860442.1; MH860443.1; MK177583.1; MK641464.1; MN013987.1; MW221147.1; MW221218.1; OM892850.1; ON329678.1; OP715869.1; OR073642.1; OR100413.1; OR342706.1; OW982548.1; OW984205.1; PP732489.1; PP921319.1; PQ463369.1; PQ864802.1; PV065892.1; PV065897.1; PV362167.1; PV915793.1		
Phaeocytostroma ambiguum	Phaeocytostroma ambiguum		fungi	935936	stalk rot	茎腐病	confirmed	Kimtai D K, Schmidt C, Matthiesen R L, et al. Pathogenicity and fungicide sensitivity of Phaeocytostroma ambiguum, a fungal species recovered from the crowns of corn plants[J]. Plant Disease, 2026 (ja).	present	29	FR748034.1; FR748035.1; FR748036.1; FR748037.1; FR748038.1; FR748039.1; FR748040.1; FR748041.1; FR748042.1; FR748043.1; FR748044.1; KT323138.1; KT966745.1; KU323506.1; KU323507.1; KU323508.1; MH865025.1; MK249746.1; MK956133.1; MK956167.1; MT556639.1; MT556793.1; MT571457.1; MT571463.1; MT571486.1; MZ931307.1; MZ934389.1; PV291689.1; PX995158.1		
Phaeosphaeria herpotricha / Ophiosphaerella herpotricha	Ophiosphaerella herpotricha/Phaeosphaeria herpotricha		fungi	33175	leaf spot	叶斑病	confirmed	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020.	present	38	AF101796.1; AF101813.1; KC841020.1; KC841028.1; KC841030.1; KC841031.1; KC841033.1; KC841038.1; KC841046.1; KC841048.1; KC841049.1; KC841052.1; KC841053.1; KC841054.1; KC841058.1; KC841059.1; KC841060.1; KC841061.1; KC841063.1; KC841064.1; KC841065.1; KC841066.1; KC841067.1; KC841073.1; KC841080.1; KF498728.1; KM096231.1; KP690986.1; KP690987.1; KP690988.1; KP690989.1; KP690990.1; KP690991.1; KP690992.1; KT274698.1; MN587172.1; MT446090.1; ON407117.1		
Phaeosphaeria maydis	Phaeosphaeria maydis		fungi	NOT_VERIFIED	Leaf Spot	叶斑病	confirmed	Jibril S M, Hu Y, Yang K, et al. Microbiome Analysis of Area in Proximity to White Spot Lesions Reveals More Harmful Plant Pathogens in Maize[J]. Biomolecules, 2025, 15(2): 252. Gonçalves R M, Figueiredo J E F, Pedro E S, et al. Etiology of Phaeosphaeria leaf spot disease of maize[J]. Journal of Plant Pathology, 2013: 559-569. Carson M L. Yield loss potential of Phaeosphaeria leaf spot of maize caused by Phaeosphaeria maydis in the United States[J]. Plant disease, 2005, 89(9): 986-988. | NCBI Taxonomy 未收录 Phaeosphaeria maydis	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Phialophora radicicola / Gaeumannomyces radicicola	Gaeumannomyces radicicola/Phialophora radicicola		fungi	1577605	root rot	根腐病	confirmed	McKeen W E. Phialophora radicicola Cain, a corn rootrot pathogen[J]. Canadian Journal of Botany, 1952, 30(3): 344-347.	present	18	AB190407.1; AB190409.1; AJ010035.1; AJ010043.1; AJ010044.1; AY120939.1; KJ159572.1; KM009168.1; KM009169.1; KM009170.1; KM484844.1; KM484846.1; KM484848.1; KM484849.1; KM484850.1; MH857211.1; MH861867.1; MT276057.1		
Phyllachora maydis	Phyllachora maydis		fungi	1825666	Tar spot complex	焦油斑病 (Tar spot)	confirmed	Solórzano J E, Cruz C D, Arenz B E, et al. Tar spot of corn: A diagnostic and methods guide[J]. Plant Health Progress, 2023, 24(1): 117-122.	present	19	OL342916.1; OL342922.1; ON241789.1; ON400514.1; OP831220.1; OP831221.1; OP831222.1; OP831223.1; OP831224.1; OP831225.1; OP984077.1; OP984079.1; OQ034699.1; OQ200487.1; OQ200489.1; PP725321.1; PP725378.1; PX852345.1; PX854774.1		
Physoderma maydis	Physoderma maydis		fungi	276838	Physoderma brown spot	玉米褐斑病/节壶菌病	confirmed	Robertson A E, Jesse L, Munkvold G, et al. Physoderma brown spot and stalk rot of corn caused by Physoderma maydis in Iowa[J]. Plant Health Progress, 2015, 16(2): 90-92.	present	2	AY601708.1; AY997072.1		
Physopella pallescens / Phakopsora pallescens	Phakopsora pallescens/ Physopella pallescens		fungi	NOT_VERIFIED	Tropic rust	热带锈病	confirmed	NYVALL R F. Field Crop Diseases. 3rd ed. Ames: Iowa State University Press, 1999 | NCBI Taxonomy 未收录 Phakopsora/Physopella pallescens	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Physopella zeae	Phakopsora zeae/Physopella zeae		fungi	NOT_VERIFIED	Tropic rust	热带锈病	confirmed	Nihei T H, Ferreira J M. Diallel analysis of maize inbred lines with emphasis on resistance to leaf diseases[J]. Pesquisa Agropecuária Brasileira, 2012, 47: 369-377. | NCBI Taxonomy 未收录 Phakopsora/Physopella zeae	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Puccinia polysora	Puccinia polysora		fungi	684837	Southern rust/polysora rust	玉米南方锈病/多堆柄锈菌病	confirmed	Sun Q, Li L, Guo F, et al. Southern corn rust caused by Puccinia polysor a Underw: a review[J]. Phytopathology Research, 2021, 3(1): 25.	present	43	AB599970.1; AB599971.1; AB599972.1; AB599973.1; AB599974.1; AB599975.1; AB599976.1; HQ189433.1; MF033480.1; MT932574.1; MT932575.1; MT932576.1; MT932577.1; MZ787762.1; OK275641.1; OR470027.1; OR470028.1; OR470029.1; OR470030.1; PV593781.1; PV593782.1; PV593783.1; PV593784.1; PV593785.1; PV593787.1; PV593788.1; PV593789.1; PV593791.1; PV593792.1; PV593794.1; PV593797.1; PV593798.1; PV593799.1; PV593800.1; PV593801.1; PV593802.1; PV593803.1; PV593804.1; PV593805.1; PV593806.1; PV593810.1; PV593812.1		
Puccinia sorghi	Puccinia sorghi		fungi	27349	Common rust	玉米普通锈病	confirmed	Olukolu B A, Tracy W F, Wisser R, et al. A genome-wide association study for partial resistance to maize common rust[J]. Phytopathology, 2016, 106(7): 745-751.	present	21	AY114291.1; DQ345724.1; HQ154038.1; KY354211.1; KY764163.1; L08734.1; MT955202.1; MT955203.1; MT965574.1; MT965630.1; MT965631.1; MT965639.1; ON000260.1; PP469634.1; PP471887.1; PV593786.1; PV810235.1; PX955827.1; PX955856.1		
Pyricularia oryzae (Magnaporthe oryzae)	Pyricularia oryzae/Magnaporthe oryzae	Magnaporthe oryzae	fungi	318829	Gray leaf spot (occasional)/ leaf blast	稻瘟病(偶侵染玉米)	secondary	Pordel A, Ravel S, Charriat F, et al. Tracing the origin and evolutionary history of Pyricularia oryzae infecting maize and barnyard grass[J]. Phytopathology®, 2021, 111(1): 128-136.	present	43	MH424730.1; MH424731.1; MH424732.1; MH424733.1; MH424734.1; MH424735.1; MH424736.1; MH424737.1; MH424738.1; MH424739.1; MH424740.1; MH424741.1; MH424742.1; MH424743.1; MH424744.1; MH424745.1; MH424746.1; MH424747.1; MH424748.1; MH424749.1; MH424750.1; MH424751.1; MH424752.1; MH424753.1; MH424754.1; MH857082.1; MH859782.1; PZ451090.1; PZ513395.1; PZ538835.1; PZ675881.1; PZ687988.1; PZ687989.1; PZ687991.1; PZ687992.1; PZ687993.1; PZ687994.1; PZ687995.1; PZ687996.1; PZ687997.1; PZ688001.1; PZ702463.1; PZ745921.1		
Rhizoctonia solani (Thanatephorus cucumeris)	Rhizoctonia solani (Thanatephorus cucumeris)	Thanatephorus cucumeris	fungi	456999	Banded leaf and sheath blight (BLSB)	玉米纹枯病	confirmed	Pascual, Toda, Raymondo, et al. Characterization by conventional techniques and PCR of Rhizoctonia solani isolates causing banded leaf sheath blight in maize[J]. Plant Pathology, 2000, 49(1): 108-118.	present	43	PZ718915.1; PZ718916.1; PZ741301.1; PZ741302.1; PZ741730.1; PZ747061.1; PZ747062.1; PZ747063.1; PZ747064.1; PZ747065.1; PZ747066.1; PZ747067.1; PZ747068.1; PZ747069.1; PZ747070.1; PZ747071.1; PZ747072.1; PZ747073.1; PZ747074.1; PZ747075.1; PZ747076.1; PZ747077.1; PZ795269.1; PZ805015.1; PZ806597.1; PZ829590.1; PZ829591.1; PZ829592.1; PZ829593.1; PZ829594.1; PZ829595.1; PZ829991.1; PZ830004.1; PZ830005.1; PZ830010.1; PZ830013.1; PZ830018.1; PZ830347.1; PZ830348.1; PZ830349.1; PZ830350.1; PZ830351.1; PZ830834.1		
Rhizopus arrhizus	Rhizopus arrhizus		fungi	64495	Rhizopus root rot of maize / maize seedling root rot	玉米根霉根腐病／玉米幼苗根腐病	confirmed	Morales-Barron B M, Larios-Serrato V, Morales-García Y E, et al. Effect of Pseudomonas protegens EMM-1 Against Rhizopus oryzae in Interactions with Mexican Autochthonous Red Maize[J]. Life, 2025, 15(4): 554.	present	43	MH857229.1; MH857486.1; MH863097.1; MH864361.1; MH865572.1; MH865573.1; MH865574.1; MH865576.1; MH865577.1; MH865581.1; MH865582.1; MH865584.1; MH865585.1; MH865586.1; MH865587.1; MH865588.1; MH865589.1; MH865590.1; MH865591.1; MH865592.1; MH865593.1; MH865594.1; MH866178.1; PP844116.1; PP844168.1; PP844454.1; PP844458.1; PP844460.1; PP844502.1; PZ624080.1; PZ645929.1; PZ683100.1; PZ683187.1; PZ683188.1; PZ706490.1; PZ724278.1; PZ742489.1; PZ785106.1; PZ785107.1; PZ785108.1; PZ785858.1; PZ785861.1; PZ786493.1		
Rhizopus stolonifer	Rhizopus stolonifer		fungi	4846	Rhizopus ear rot, storage mold	根霉穗腐病/储藏霉病	confirmed	Pscheidt JW, Ocamb CM. Corn (Zea mays)—Ear Rots. Pacific Northwest Plant Disease Management Handbook.	present	43	MZ407670.1; OR552919.1; PP989830.1; PP999471.1; PQ516914.1; PQ557265.1; PQ589254.1; PQ963946.1; PV065894.1; PV242079.1; PV464668.1; PV476201.1; PV546863.1; PV801992.1; PV916127.1; PV955871.1; PX130429.1; PX220220.1; PX238430.1; PX381334.1; PX448037.1; PX487960.1; PX499255.1; PX588600.1; PX597162.1; PX620084.1; PX642941.1; PX735259.1; PX845835.1; PX915407.1; PX924853.1; PX981750.1; PZ012038.1; PZ043867.1; PZ053804.1; PZ053805.1; PZ359898.1; PZ368868.1; PZ385591.1; PZ447514.1; PZ501320.1; PZ593662.1; PZ593665.1		
Sarocladium strictum (Acremonium strictum)	Sarocladium strictum (Acremonium strictum)	Acremonium strictum	fungi	5046	Acremonium wilt/black bundle disease	枝顶孢枯萎病/黑束病	confirmed	Tagne A, Neergaard E, Hansen H J, et al. Studies of host—pathogen interaction between maize and Acremonium strictum from Cameroon[J]. European Journal of Plant Pathology, 2002, 108(2): 93-102.	present	43	MH855386.1; MH858128.1; MH858503.1; MH859619.1; MH859620.1; MH859621.1; MH859622.1; MH859623.1; MH859624.1; MH859625.1; MH859626.1; MH859628.1; MH859629.1; MH859630.1; MH859631.1; MH859696.1; MH859705.1; MH859722.1; MH859723.1; MH859724.1; MH859725.1; MH864442.1; MH864509.1; MH871381.1; PV339549.1; PV339566.1; PV407532.1; PV407533.1; PV407535.1; PV407537.1; PV407542.1; PX875878.1; PX891964.1; PX891969.1; PX892013.1; PX928749.1; PX928772.1; PX928778.1; PX963973.1; PX988759.1; PZ251243.1; PZ362199.1; PZ653114.1		
Sarocladium zeae/Acremonium zeae	Sarocladium zeae/Acremonium zeae		fungi	1036732	Sheath rot, stalk rot	鞘腐病/茎腐病	confirmed	Harish J, Prasannakumar M K, Venkateshbabu G, et al. Molecular and genomic insights into the pathogenicity of Sarocladium zeae causing maize stalk rot disease[J]. Microbiological Research, 2025, 296: 128146.	present	43	MH859433.1; MH859633.1; MH859763.1; MZ353527.1; OQ429857.1; OQ429858.1; OR500031.1; OR500035.1; OR500039.1; OR500040.1; OR500045.1; OR500051.1; OR500054.1; OR500055.1; OR500061.1; PP721194.1; PP721195.1; PP721196.1; PP721197.1; PP721198.1; PP721200.1; PP721201.1; PP721202.1; PP721203.1; PP721204.1; PP721205.1; PP721206.1; PP721207.1; PP721208.1; PQ236698.1; PQ304517.1; PV368045.1; PV368046.1; PV407543.1; PV407545.1; PV492239.1; PV862258.1; PV862259.1; PX858207.1; PX965531.1; PX965538.1; PX965544.1; PX965551.1		
Septoria maydis	Septoria maydis		fungi	NOT_VERIFIED	leaf blotch	斑点病	confirmed	CIMMYT Maize Program. Maize Diseases: A Guide for Field Identification. 4th ed. Mexico, D.F.: International Maize and Wheat Improvement Center (CIMMYT). 119 pp.2004. | NCBI Taxonomy 未收录 Septoria maydis	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Septoria zeina/Septoria zeae	Septoria zeina		fungi	NOT_VERIFIED	leaf blotch	斑点病	confirmed	QI P K, BAI J K, ZHU G X. Fungal Diseases of Cultured Plants of Jilin. Beijing: Science Press, 1966. (in Chinese) | NCBI Taxonomy 未收录 Septoria zeina (不同于 Cercospora zeina)	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Setophoma terrestris (Phoma terrestris/Pyrenochaeta terrestris )	Setophoma terrestris/Phoma terrestris/Pyrenochaeta terrestris	Phoma terrestris; Pyrenochaeta terrestris	fungi	798162	red root rot	红根腐病	confirmed	Yoshida N. Seasonal dynamics of the pink root fungus (Setophoma terrestris) in rhizosphere soil: Effect of crop species and rotation[J]. Plant Pathology, 2022, 71(2): 361-372.	present	43	MH855079.1; MH857088.1; OR119862.1; OR119866.1; PP758428.1; PQ579615.1; PQ764087.1; PQ764088.1; PQ771931.1; PQ788715.1; PQ788749.1; PQ788750.1; PV590710.1; PV593185.1; PV593203.1; PV805239.1; PV825797.1; PV992114.1; PX022279.1; PX048532.1; PX048533.1; PX048534.1; PX587584.1; PX587585.1; PX587586.1; PX587587.1; PX587588.1; PX587589.1; PX587590.1; PX587591.1; PX587592.1; PX587593.1; PX587594.1; PX587595.1; PX587596.1; PX587597.1; PX587598.1; PX587599.1; PX657306.1; PX657319.1; PX875970.1; PZ503009.1; PZ706505.1		
Sporisorium reilianum (Sphacelotheca reiliana)	Sporisorium reilianum/Sphacelotheca reiliana	Sphacelotheca reiliana	fungi	72558	Head smut	玉米丝黑穗病	confirmed	Ghareeb H, Becker A, Iven T, et al. Sporisorium reilianum infection changes inflorescence and branching architectures of maize[J]. Plant physiology, 2011, 156(4): 2037-2052.	present	33	AF038827.1; AF045870.1; AF135432.1; AY740163.1; DQ875352.1; DQ979020.2; DQ979021.2; FJ167350.1; FJ167351.1; FJ167352.1; FJ167354.1; FJ167355.1; FJ167357.1; FJ167358.1; FJ167359.1; FJ167360.1; FJ167361.1; HQ011381.1; HQ641393.1; KC986979.1; KF706438.1; KJ917977.1; KY856895.1; KY856896.1; MH854662.1; MN049265.1; MN049270.1; MN049272.1; MN049274.1; MN049276.1; MN049277.1; OP704120.1; OR042783.1		
Stenocarpella macrospora	Stenocarpella macrospora		fungi	371126	Diplodia dry ear rot	色二孢干穗腐病	confirmed	| McGee DC. (1988). Maize diseases: a reference source for seed technologists.	present	20	FR748048.1; FR748049.1; GQ167224.1; GQ167225.1; GQ259128.1; KY012337.1; MH865024.1; ON209712.1; PQ241617.1; PV156023.1; PV156059.1; PV156060.1; PV291690.1; PV291691.1; PV291692.1; PV291693.1; PV291694.1; PV291695.1; PX965534.1; PZ726902.1		
Stenocarpella maydis (Diplodia maydis)	Stenocarpella maydis/ Diplodia maydis	Diplodia maydis	fungi	238245	Diplodia ear rot/stalk rot/Stenocarpella leaf spot	色二孢穗腐病/茎腐病/玉米狭壳柱孢叶斑病	confirmed	Wicklow D T, Rogers K D, Dowd P F, et al. Bioactive metabolites from Stenocarpella maydis, a stalk and ear rot pathogen of maize[J]. Fungal biology, 2011, 115(2): 133-142.	present	41	FR748050.1; FR748052.1; FR748053.1; FR748054.1; FR748055.1; FR748056.1; FR748059.1; FR748060.1; FR748061.1; FR748062.1; FR748063.1; FR748064.1; FR748065.1; GQ167220.1; GQ167221.1; GQ167222.1; GQ167223.1; GQ259129.1; GQ259130.1; GQ428199.1; KC311732.1; KM030331.1; KP164561.1; KP691031.1; KU680414.1; KY940797.1; MF076624.1; MK249739.1; MT556638.1; MT571456.1; MT772176.1; MW995721.1; MZ895508.1; MZ948964.1; ON209722.1; ON310802.1; OQ683861.1; OR500033.1; PQ609689.1; PV124187.1; PX444915.1		
Talaromyces radicus	Talaromyces radicus		fungi	228353	ear rot	穗腐病	confirmed	王晓鸣, 王振营. 中国玉米病虫草害图鉴. 北京: 中国农业出版社, 2018. WANG X M, WANG Z Y. Illustrated Handbook of Maize Diseases, Insect Pests and Weeds in China. Beijing: China Agriculture Press, 2018. (in Chinese)	present	43	JN899324.1; JX091490.1; JX091491.1; JX091492.1; KF984879.1; KF984881.1; LC743858.1; MH862702.1; MK045813.1; MK646059.1; MK805489.1; MW543021.1; MW578828.1; MW897747.1; MZ031136.1; MZ835641.1; OK011815.1; OK035203.1; OM237068.1; OM237078.1; OM487041.1; ON208514.1; ON208515.1; ON208737.1; ON394880.1; ON394881.1; ON428466.1; ON492846.1; OQ981228.1; OQ981229.1; OQ981230.1; OR673580.1; OR835532.1; OR835533.1; OR922574.1; OW982510.1; OW988101.1; PP844393.1; PP844405.1; PV369555.1; PV369691.1; PX071999.1; PX072000.1		
Trichoderma afroharzianum	Trichoderma afroharzianum		fungi	1567482	ear rot	穗腐病	confirmed	Harish J, Prasannakumar M K, Karan R, et al. Trichoderma spp. as a novel pathogen for maize post-flowering stalk rot in India[J]. Crop Protection, 2025, 195: 107255.	present	43	MN944475.1; MN944477.1; MN944478.1; MN944483.1; OR028877.1; OR028878.1; PQ771090.1; PQ792632.1; PV147294.1; PV803490.1; PV833935.1; PV875369.1; PV888853.1; PV888871.1; PV888872.1; PV927072.1; PV927113.1; PV998964.1; PX125564.1; PX317609.1; PX440380.1; PX451861.1; PX466672.1; PX592360.1; PX596745.1; PX641334.1; PX682135.1; PX781899.1; PX781900.1; PX944777.1; PX990073.1; PX990074.1; PZ069395.1; PZ122442.1; PZ163670.1; PZ169959.1; PZ227505.1; PZ251622.1; PZ270822.1; PZ357797.1; PZ359186.1; PZ721831.1; PZ768225.1		
