species	taxid	category	search_string	hits	unique_pmids
Fusarium tricinctum	61284	fungi	"Fusarium tricinctum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	21	21
Fusarium verticillioides (Gibberella moniliformis)	117187	fungi	"Fusarium verticillioides (Gibberella moniliformis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Gaeumannomyces graminis	29850	fungi	"Gaeumannomyces graminis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	3	3
Gibberella fujikuroi (Fusarium fujikuroi)	5127	fungi	"Gibberella fujikuroi (Fusarium fujikuroi)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Gloeocercospora sorghi / Microdochium sorghi	1682391	fungi	"Gloeocercospora sorghi / Microdochium sorghi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Gonatobotrys simplex	2713053	fungi	"Gonatobotrys simplex"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Graphium penicillioides	67620	fungi	"Graphium penicillioides"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Harpophora maydis (Cephalosporium maydis/Magnaporthiopsis maydis)	80373	fungi	"Harpophora maydis (Cephalosporium maydis/Magnaporthiopsis maydis)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Helminthosporium hawaiiensis / Curvularia hawaiiensis	1230527	fungi	"Helminthosporium hawaiiensis / Curvularia hawaiiensis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Helminthosporium pedicellatum/Exserohilum pedicellatum	119929	fungi	"Helminthosporium pedicellatum/Exserohilum pedicellatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	145392	fungi	"Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Hyalothyridium maydis / Orphanocoela maydis	NOT_VERIFIED	fungi	"Hyalothyridium maydis / Orphanocoela maydis"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Kabatiella zeae (Aureobasidium zeae)	1592451	fungi	"Kabatiella zeae (Aureobasidium zeae)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
